Victim's name,Date of Incident (month/day/year),Official disposition of death (justified or other),Criminal Charges?,
Sok Chin Son,1/21/20,Pending investigation/No Known Charges,No known charges,
Dustin Matthew Furr,1/20/20,Pending investigation/No Known Charges,No known charges,
Edward R. Gendron Jr.,1/20/20,Justified by State's Attorney,No known charges,
Jonathan David Messare,1/20/20,Justified by outside agency,No known charges,
Miguel Angel Mercado Segura,1/20/20,Pending investigation/No Known Charges,No known charges,
Dustin Alexander Nealis,1/19/20,Pending investigation/No Known Charges,No known charges,
Eric Parsa,1/19/20,Pending investigation/No Known Charges,No known charges,
Kelvin White,1/19/20,Pending investigation/No Known Charges,No known charges,
Samuel David Mallard,1/17/20,Pending investigation/No Known Charges,No known charges,
Jack Bolinger,1/16/20,Pending investigation/No Known Charges,No known charges,
Landwell Vance McCall,1/16/20,Pending investigation/No Known Charges,No known charges,
Owen Earl Barton,1/16/20,Pending investigation/No Known Charges,No known charges,
Aaron Phillips,1/15/20,Pending investigation/No Known Charges,No known charges,
Albert Lee Hughes,1/15/20,Pending investigation/No Known Charges,No known charges,
Frank Cogar,1/15/20,Pending investigation/No Known Charges,No known charges,
Mubarak Soulemane,1/15/20,Pending investigation/No Known Charges,No known charges,
Renard Antonio Daniels,1/15/20,Pending investigation/No Known Charges,No known charges,
Eliezer Perez,1/14/20,Justified by State Attorney,No known charges,
Keenan McCain,1/13/20,Pending investigation/No Known Charges,No known charges,
Randy Glen Goodale,1/13/20,Pending investigation/No Known Charges,No known charges,
Brad Stirewalt,1/12/20,Pending investigation/No Known Charges,No known charges,
Eric Reynolds,1/11/20,Pending investigation/No Known Charges,No known charges,
Henry Isaac Jones,1/11/20,Pending investigation/No Known Charges,No known charges,
Ryan Simms,1/11/20,Pending investigation/No Known Charges,No known charges,
Thomas Charles Snyder,1/11/20,Pending investigation/No Known Charges,No known charges,
Victor Valencia,1/11/20,Pending investigation/No Known Charges,No known charges,
Clando Anitok,1/10/20,Justified by County Prosecutor,No known charges,
Bernie Wade Johnson Jr.,1/9/20,Unknown,No known charges,
Claude Washington Fain III,1/9/20,Pending investigation/No Known Charges,No known charges,
Cordy Carnes,1/9/20,Pending investigation/No Known Charges,No known charges,
Earl Facey,1/9/20,Pending investigation/No Known Charges,No known charges,
Joshua Franklin Roberts,1/9/20,Pending investigation/No Known Charges,No known charges,
Juan Ayon-Ruiz,1/9/20,Pending investigation/No Known Charges,No known charges,
Donald Ashcraft,1/8/20,Pending investigation/No Known Charges,No known charges,
Dustin Michael Lynn Eaton,1/8/20,Pending investigation/No Known Charges,No known charges,
Madison Adams,1/8/20,Pending investigation/No Known Charges,No known charges,
Daniel Duane Jensen Jr.,1/7/20,Pending investigation/No Known Charges,No known charges,
Troy Chase Caster,1/7/20,Pending investigation/No Known Charges,No known charges,
Dallas Pearce,1/6/20,Pending investigation/No Known Charges,No known charges,
Nico Descheenie,1/6/20,Justified by District Attorney,No known charges,
Orlando Abeyta,1/6/20,Pending investigation/No Known Charges,No known charges,
Xavier Jaime Rovie,1/6/20,Pending investigation/No Known Charges,No known charges,
Brandon Dionte Roberts,1/5/20,Pending investigation/No Known Charges,No known charges,
Drew Nichols Wallace-Flores,1/5/20,Pending investigation/No Known Charges,No known charges,
George Dison,1/5/20,Pending investigation/No Known Charges,No known charges,
Kwame Jones,1/5/20,Pending investigation/No Known Charges,No known charges,
Miciah Lee,1/5/20,Justified by District Attorney,No known charges,
Samuel Lanham,1/5/20,Pending investigation/No Known Charges,No known charges,
Tina Marie Davis,1/4/20,Pending investigation/No Known Charges,No known charges,
Tyree Davis,1/4/20,Pending investigation/No Known Charges,No known charges,
Jamarri Daiwon Tarver,1/2/20,Pending investigation/No Known Charges,No known charges,
Jeffery Dale Millsap,1/2/20,Pending investigation/No Known Charges,No known charges,
Mariano Ocon Jr.,1/2/20,Pending investigation/No Known Charges,No known charges,
Michael Gregory,1/2/20,Pending investigation/No Known Charges,No known charges,
Stanley Hayes,1/2/20,Pending investigation/No Known Charges,No known charges,
Troy Matthew Sullenger,1/2/20,Pending investigation/No Known Charges,No known charges,
Derrick A. Elseth Jr.,1/1/20,Pending investigation/No Known Charges,No known charges,
Gabriel Justin Strickland,1/1/20,Pending investigation/No Known Charges,No known charges,
Gerardo Antonio Conchas-Bustos,1/1/20,Pending investigation/No Known Charges,No known charges,
Teddy James Maverick Varner,1/1/20,Pending investigation/No Known Charges,No known charges,
Brian Elkins,12/31/19,Pending investigation/No Known Charges,No known charges,
Dedrick Thomas,12/31/19,Pending investigation/No Known Charges,No known charges,
Eric M. Tellez,12/31/19,Pending investigation/No Known Charges,No known charges,
Frederick Perkins,12/31/19,Pending investigation/No Known Charges,No known charges,
Malik Williams,12/31/19,Pending investigation/No Known Charges,No known charges,
Michael Vincent Davis,12/31/19,Justified by Prosecutor's Office,No known charges,
Terry Hudson,12/31/19,Pending investigation/No Known Charges,No known charges,
Cody McCaulou,12/30/19,Pending investigation/No Known Charges,No known charges,
Davion Edison,12/30/19,Pending investigation/No Known Charges,No known charges,
Debra D. Arbuckle,12/30/19,Pending investigation/No Known Charges,No known charges,
John Bott,12/29/19,Pending investigation/No Known Charges,No known charges,
Kelly Michael Stephens,12/29/19,Justified by outside agency,No known charges,
Kirklan Conley,12/29/19,Pending investigation/No Known Charges,No known charges,
Manuel Gonzales Verdugo,12/29/19,Pending investigation/No Known Charges,No known charges,
Patrick Alden,12/29/19,Pending investigation/No Known Charges,No known charges,
A.B. Carr,12/28/19,Pending investigation/No Known Charges,No known charges,
Albert Benjamin Simon,12/28/19,Pending investigation/No Known Charges,No known charges,
Craig Ellis See,12/28/19,Pending investigation/No Known Charges,No known charges,
Heriberto Rodriguez,12/28/19,Pending investigation/No Known Charges,No known charges,
Troy Kirk,12/28/19,Pending investigation/No Known Charges,No known charges,
Christopher Camacho,12/27/19,Pending investigation/No Known Charges,No known charges,
Frederick Jeremy Atkin,12/27/19,Pending investigation/No Known Charges,No known charges,
Henry Kistler Berry III,12/27/19,Pending investigation/No Known Charges,No known charges,
John Lowell Dollen,12/27/19,Pending investigation/No Known Charges,No known charges,
Antonio Smith,12/26/19,Pending investigation/No Known Charges,No known charges,
Juan Rosa,12/26/19,Pending investigation/No Known Charges,No known charges,
Deangelo Rashad Martin,12/25/19,Pending investigation/No Known Charges,No known charges,
Lori Jean Canada,12/25/19,Justified by State Attorney,No known charges,
David A. White,12/24/19,Pending investigation/No Known Charges,No known charges,
Elray Barber,12/24/19,Pending investigation/No Known Charges,No known charges,
Harvey Cantrell,12/24/19,Pending investigation/No Known Charges,No known charges,
Austin Chase Swindle,12/23/19,Pending investigation/No Known Charges,No known charges,
Macario Hernandez,12/23/19,Pending investigation/No Known Charges,No known charges,
Richard Ruiz,12/23/19,Pending investigation/No Known Charges,No known charges,
Jesse Donnelly Adams,12/22/19,Pending investigation/No Known Charges,No known charges,
Kenneth Collins,12/22/19,Pending investigation/No Known Charges,No known charges,
Romir Talley,12/22/19,Pending investigation/No Known Charges,No known charges,
Brian Lee Mullen,12/21/19,Pending investigation/No Known Charges,No known charges,
Marc Denver Thompson,12/21/19,Pending investigation/No Known Charges,No known charges,
Mark Stoddard,12/21/19,Pending investigation/No Known Charges,No known charges,
Michael DeCastro,12/21/19,Pending investigation/No Known Charges,No known charges,
John Resetar,12/20/19,Pending investigation/No Known Charges,No known charges,
Steven DeWayne Haizlip,12/20/19,Pending investigation/No Known Charges,No known charges,
Christopher Joseph Gray,12/19/19,Pending investigation/No Known Charges,No known charges,
Emanuel Johnson,12/19/19,Pending investigation/No Known Charges,No known charges,
Gary Wayne Madewell,12/19/19,Pending investigation/No Known Charges,No known charges,
Jason Elliot Waterhouse,12/19/19,Pending investigation/No Known Charges,No known charges,
Jayson A. Colvin,12/19/19,Pending investigation/No Known Charges,No known charges,
Kentrey Marquis Witherspoon,12/19/19,Pending investigation/No Known Charges,No known charges,
Mohamed Ahemed Al-Hashemi,12/19/19,Pending investigation/No Known Charges,No known charges,
Tyler Hall,12/18/19,Pending investigation/No Known Charges,No known charges,
Clyde Jacob Sullivan,12/17/19,Pending investigation/No Known Charges,No known charges,
Dana Brown,12/17/19,Pending investigation/No Known Charges,No known charges,
Kyle Horton,12/17/19,Justified by District Attorney,No known charges,
Paul Jarvis,12/17/19,Pending investigation/No Known Charges,No known charges,
Ricky Lee Gardipee,12/17/19,Pending investigation/No Known Charges,No known charges,
Bernie Rascon,12/16/19,Pending investigation/No Known Charges,No known charges,
Dustin Spencer,12/16/19,Pending investigation/No Known Charges,No known charges,
Jorge Serrano,12/16/19,Pending investigation/No Known Charges,No known charges,
Chiasher Fong Vue,12/15/19,Pending investigation/No Known Charges,No known charges,
Kean Walker,12/15/19,Pending investigation/No Known Charges,No known charges,
Mario Alberto Torres,12/15/19,Pending investigation/No Known Charges,No known charges,
Mohammad Jamal Isaifan,12/15/19,Pending investigation/No Known Charges,No known charges,
Alejandro Betancourt Mendoza,12/14/19,Pending investigation/No Known Charges,No known charges,
Jamee Christopher Deonte Johnson,12/14/19,Justified by State Attorney,No known charges,
Louis Patrick Veal,12/14/19,Pending investigation/No Known Charges,No known charges,
Victor A. Parsons,12/14/19,Pending investigation/No Known Charges,No known charges,
Anthony Tovar,12/12/19,Pending investigation/No Known Charges,No known charges,
Bradley Cutchens,12/12/19,Pending investigation/No Known Charges,No known charges,
Cade Humphrey,12/12/19,Pending investigation/No Known Charges,No known charges,
Cortez Bufford,12/12/19,Pending investigation/No Known Charges,No known charges,
Erik Lee,12/12/19,Justified by District Attorney/Civil suit/Pending,No known charges,
Romello Barnes,12/12/19,Pending investigation/No Known Charges,No known charges,
Taveonte Art Emmanuel,12/12/19,Pending investigation/No Known Charges,No known charges,
Matthew Jonathon Krupar,12/11/19,Pending investigation/No Known Charges,No known charges,
Daniel Eric Condon,12/10/19,Pending investigation/No Known Charges,No known charges,
David N. Anderson,12/10/19,Pending investigation/No Known Charges,No known charges,
Delos Peter Lowe,12/10/19,Pending investigation/No Known Charges,No known charges,
Francine Graham,12/10/19,Pending investigation/No Known Charges,No known charges,
Kreen Cornell Bateman,12/10/19,Justified by Solicitor's Office,No known charges,
Mauro Carrillo,12/10/19,Pending investigation/No Known Charges,No known charges,
Montay Steven Penning,12/10/19,Pending investigation/No Known Charges,No known charges,
Robert Allen Elfgen,12/10/19,Pending investigation/No Known Charges,No known charges,
Terrance Edward White,12/10/19,Pending investigation/No Known Charges,No known charges,
Antonio Nichols,12/9/19,Pending investigation/No Known Charges,No known charges,
Koben S. Henriksen,12/8/19,Grand jury/No bill or Cleared,No known charges,
London T. Phillips,12/7/19,Justified by internal review,No known charges,
Mark Richard Coleman,12/7/19,Pending investigation/No Known Charges,No known charges,
Dominick Matt,12/6/19,Pending investigation/No Known Charges,No known charges,
Hunter Steven James Lowry,12/6/19,Justified by District Attorney,No known charges,
Alvern Donell Walker,12/5/19,Justified by District Attorney,No known charges,
Chad James Green,12/5/19,Pending investigation/No Known Charges,No known charges,
Demetrius Williams,12/5/19,Grand jury/No bill or Cleared,No known charges,
Frank Ordonez,12/5/19,Pending investigation/No Known Charges,No known charges,
Lamar Alexander,12/5/19,Pending investigation/No Known Charges,No known charges,
Richard Cutshaw,12/5/19,Pending investigation/No Known Charges,No known charges,
Ronnie Jerome Hill,12/5/19,Pending investigation/No Known Charges,No known charges,
Cameron Lamb,12/3/19,Charged with manslaughter,Charged with a crime,
Miguel Russo,12/3/19,Pending investigation/No Known Charges,No known charges,
Thomas Cole Thompson,12/3/19,Pending investigation/No Known Charges,No known charges,
